hora,ponto_idx,latitude,longitude,temperatura_condutor_p90,risco_termico
2023-01-01 01:00:00,13,-23.551366666666667,-46.63416666666667,82.83185445034864,0.219
2023-01-01 02:00:00,13,-23.551366666666667,-46.63416666666667,82.57309718284066,0.224
2023-01-01 00:00:00,14,-23.551433333333335,-46.634233333333334,84.976320177154,0.25
2023-01-01 01:00:00,14,-23.551433333333335,-46.634233333333334,83.72130821999413,0.245
2023-01-01 02:00:00,14,-23.551433333333335,-46.634233333333334,83.68948758418178,0.217
2023-01-01 00:00:00,15,-23.5515,-46.6343,86.57187019531416,0.278
2023-01-01 01:00:00,15,-23.5515,-46.6343,84.26003947690045,0.254
2023-01-01 02:00:00,15,-23.5515,-46.6343,83.12592254034097,0.206
2023-01-01 00:00:00,16,-23.551566666666666,-46.63436666666667,85.43436143926697,0.271
2023-01-01 01:00:00,16,-23.551566666666666,-46.63436666666667,83.0491602288742,0.219
2023-01-01 02:00:00,16,-23.551566666666666,-46.63436666666667,83.94860343586217,0.21
2023-01-01 00:00:00,17,-23.551633333333335,-46.634433333333334,86.7478795663957,0.288
2023-01-01 01:00:00,17,-23.551633333333335,-46.634433333333334,84.76565126893394,0.24
2023-01-01 02:00:00,17,-23.551633333333335,-46.634433333333334,83.86307585745638,0.227
2023-01-01 00:00:00,18,-23.5517,-46.6345,85.41153762921279,0.277
2023-01-01 01:00:00,18,-23.5517,-46.6345,85.65053763468123,0.235
2023-01-01 02:00:00,18,-23.5517,-46.6345,82.91174712279162,0.221
2023-01-01 00:00:00,19,-23.551766666666666,-46.63456666666667,86.14858728643077,0.272
2023-01-01 01:00:00,19,-23.551766666666666,-46.63456666666667,84.91561716218702,0.237
2023-01-01 02:00:00,19,-23.551766666666666,-46.63456666666667,82.70060564509302,0.204
2023-01-01 00:00:00,20,-23.551833333333335,-46.63463333333333,85.5878570168485,0.269
2023-01-01 01:00:00,20,-23.551833333333335,-46.63463333333333,83.39057222860357,0.222
2023-01-01 02:00:00,20,-23.551833333333335,-46.63463333333333,82.29565088578077,0.212
2023-01-01 00:00:00,21,-23.5519,-46.6347,86.36891105696293,0.277
2023-01-01 01:00:00,21,-23.5519,-46.6347,82.70611791528495,0.242
2023-01-01 02:00:00,21,-23.5519,-46.6347,82.90143699157016,0.218
2023-01-01 00:00:00,22,-23.551966666666665,-46.63476666666667,87.14168407404128,0.28
2023-01-01 01:00:00,22,-23.551966666666665,-46.63476666666667,82.81600556831475,0.231
2023-01-01 02:00:00,22,-23.551966666666665,-46.63476666666667,82.86465154350863,0.218
2023-01-01 00:00:00,23,-23.552033333333334,-46.63483333333333,86.08467477242638,0.281
2023-01-01 01:00:00,23,-23.552033333333334,-46.63483333333333,84.28209473226924,0.239
2023-01-01 02:00:00,23,-23.552033333333334,-46.63483333333333,82.40319017694887,0.229
2023-01-01 00:00:00,24,-23.5521,-46.6349,86.85112339917602,0.288
2023-01-01 01:00:00,24,-23.5521,-46.6349,85.86954991229139,0.239
2023-01-01 02:00:00,24,-23.5521,-46.6349,82.83156486288733,0.214
2023-01-01 00:00:00,25,-23.552166666666665,-46.63496666666667,84.97577299350307,0.274
2023-01-01 01:00:00,25,-23.552166666666665,-46.63496666666667,83.55887691103956,0.211
2023-01-01 02:00:00,25,-23.552166666666665,-46.63496666666667,84.50364829452491,0.217
2023-01-01 00:00:00,26,-23.552233333333334,-46.63503333333333,85.27493418820352,0.286
2023-01-01 01:00:00,26,-23.552233333333334,-46.63503333333333,83.48315151087243,0.226
2023-01-01 02:00:00,26,-23.552233333333334,-46.63503333333333,83.01874671215776,0.221
2023-01-01 00:00:00,27,-23.5523,-46.6351,85.61422604849542,0.267
2023-01-01 01:00:00,27,-23.5523,-46.6351,82.25482027868658,0.224
2023-01-01 02:00:00,27,-23.5523,-46.6351,84.17387229496023,0.21
2023-01-01 00:00:00,28,-23.552366666666664,-46.63516666666667,84.00147729776731,0.28
2023-01-01 01:00:00,28,-23.552366666666664,-46.63516666666667,83.5437995153536,0.232
2023-01-01 02:00:00,28,-23.552366666666664,-46.63516666666667,83.56094482362273,0.214
2023-01-01 00:00:00,29,-23.552433333333333,-46.63523333333333,86.83534158703878,0.277
2023-01-01 01:00:00,29,-23.552433333333333,-46.63523333333333,83.6687876651157,0.246
2023-01-01 02:00:00,29,-23.552433333333333,-46.63523333333333,81.64609860034594,0.196
